ID,Name,Parameter,Language,Frequency,Confidence,References
Swadesh-1964-100-1,alle [english]; ___ [russian],ALL,English,,,
Swadesh-1964-100-4,ashes [english]; ____ [russian],ASH,English,,,
Swadesh-1964-100-8,bark [english]; ____ [russian],BARK,English,,,
Swadesh-1964-100-10,belly [english]; _____ [russian],BELLY,English,,,
Swadesh-1964-100-12,big [english]; _______ [russian],BIG,English,,,
Swadesh-1964-100-13,bird [english]; _____ [russian],BIRD,English,,,
Swadesh-1964-100-14,bite [english]; ______ [russian],BITE,English,,,
Swadesh-1964-100-15,black [english]; ______ [russian],BLACK,English,,,
Swadesh-1964-100-16,blood [english]; _____ [russian],BLOOD,English,,,
Swadesh-1964-100-18,bone [english]; _____ [russian],BONE,English,,,
Swadesh-1964-100-21,burn [english]; ______ [russian],BURN (SOMETHING),English,,,
Swadesh-1964-100-24,cloud [english]; ______ [russian],CLOUD,English,,,
Swadesh-1964-100-25,cold [english]; ________ [russian],COLD,English,,,
Swadesh-1964-100-26,come [english]; _________ [russian],COME,English,,,
Swadesh-1964-100-33,die [english]; _______ [russian],DIE,English,,,
Swadesh-1964-100-36,dog [english]; ______ [russian],DOG,English,,,
Swadesh-1964-100-37,drink [english]; ____ [russian],DRINK,English,,,
Swadesh-1964-100-38,dry [english]; ____ [russian],DRY,English,,,
Swadesh-1964-100-41,ear [english]; ___ [russian],EAR,English,,,
Swadesh-1964-100-42,earth [english]; _____ [russian],EARTH (SOIL),English,,,
Swadesh-1964-100-43,eat [english]; ____ (________) [russian],EAT,English,,,
Swadesh-1964-100-44,egg [english]; ____ [russian],EGG,English,,,
Swadesh-1964-100-46,eye [english]; ____ [russian],EYE,English,,,
Swadesh-1964-100-49,fat [english]; ______ [russian],FAT (OBESE),English,,,
Swadesh-1964-100-52,feather [english]; ____ [russian],FEATHER,English,,,
Swadesh-1964-100-55,fire [english]; _____ [russian],FIRE,English,,,
Swadesh-1964-100-56,fish [english]; ____ [russian],FISH,English,,,
Swadesh-1964-100-61,fly [english]; ______ [russian],FLY (MOVE THROUGH AIR),English,,,
Swadesh-1964-100-63,foot [english]; ______ [russian],FOOT,English,,,
Swadesh-1964-100-66,give [english]; ______ [russian],GIVE,English,,,
Swadesh-1964-100-67,good [english]; _______ [russian],GOOD,English,,,
Swadesh-1964-100-69,green [english]; _______ [russian],GREEN,English,,,
Swadesh-1964-100-71,hair [english]; ______ [russian],HAIR,English,,,
Swadesh-1964-100-72,hand [english]; ____ [russian],HAND,English,,,
Swadesh-1964-100-74,head [english]; ______ [russian],HEAD,English,,,
Swadesh-1964-100-75,hear [english]; _______ [russian],HEAR,English,,,
Swadesh-1964-100-76,heart [english]; ______ [russian],HEART,English,,,
Swadesh-1964-100-84,I [english]; _ (___________) [russian],I,English,,,
Swadesh-1964-100-88,kill [english]; _______ [russian],KILL,English,,,
Swadesh-1964-100-89,know [english]; ______ [russian],KNOW (SOMETHING),English,,,
Swadesh-1964-100-92,leaf [english]; ____ (______) [russian],LEAF,English,,,
Swadesh-1964-100-95,lie [english]; ______ [russian],LIE (REST),English,,,
Swadesh-1964-100-97,liver [english]; ______ [russian],LIVER,English,,,
Swadesh-1964-100-98,long [english]; _______ [russian],LONG,English,,,
Swadesh-1964-100-99,louse [english]; ____ [russian],LOUSE,English,,,
Swadesh-1964-100-100,man [english]; _______ [russian],MAN,English,,,
Swadesh-1964-100-101,many [english]; _____ [russian],MANY,English,,,
Swadesh-1964-100-102,meat [english]; ____ [russian],MEAT,English,,,
Swadesh-1964-100-104,mountain [english]; ____ [russian],MOUNTAIN,English,,,
Swadesh-1964-100-105,mouth [english]; ___ [russian],MOUTH,English,,,
Swadesh-1964-100-106,name [english]; ___ [russian],NAME,English,,,
Swadesh-1964-100-109,neck [english]; ___ [russian],NECK,English,,,
Swadesh-1964-100-110,new [english]; ____ [russian],NEW,English,,,
Swadesh-1964-100-111,night [english]; ____ [russian],NIGHT,English,,,
Swadesh-1964-100-113,nose [english]; ___ [russian],NOSE,English,,,
Swadesh-1964-100-114,not [english]; __ [russian],NOT,English,,,
Swadesh-1964-100-116,one [english]; ____ [russian],ONE,English,,,
Swadesh-1964-100-118,person [english]; _______ [russian],PERSON,English,,,
Swadesh-1964-100-122,rain [english]; _____ [russian],RAIN (PRECIPITATION),English,,,
Swadesh-1964-100-123,red [english]; _______ [russian],RED,English,,,
Swadesh-1964-100-127,road [english]; ______ [russian],ROAD,English,,,
Swadesh-1964-100-128,root [english]; ______ [russian],ROOT,English,,,
Swadesh-1964-100-133,sand [english]; _____ [russian],SAND,English,,,
Swadesh-1964-100-136,see [english]; ______ [russian],SEE,English,,,
Swadesh-1964-100-137,seed [english]; ____ [russian],SEED,English,,,
Swadesh-1964-100-145,sit [english]; ______ [russian],SIT,English,,,
Swadesh-1964-100-147,skin [english]; ____ [russian],SKIN,English,,,
Swadesh-1964-100-149,sleep [english]; _____ [russian],SLEEP,English,,,
Swadesh-1964-100-150,small [english]; _________ [russian],SMALL,English,,,
Swadesh-1964-100-152,smoke [english]; ___ [russian],SMOKE (EXHAUST),English,,,
Swadesh-1964-100-163,stand [english]; ______ [russian],STAND,English,,,
Swadesh-1964-100-164,star [english]; ______ [russian],STAR,English,,,
Swadesh-1964-100-166,stone [english]; ______ [russian],STONE,English,,,
Swadesh-1964-100-169,sun [english]; ______ [russian],SUN,English,,,
Swadesh-1964-100-171,swim [english]; _______ [russian],SWIM,English,,,
Swadesh-1964-100-172,tail [english]; _____ [russian],TAIL,English,,,
Swadesh-1964-100-174,that [english]; ___ [russian],THAT,English,,,
Swadesh-1964-100-180,this [english]; ____ [russian],THIS,English,,,
Swadesh-1964-100-181,thou [english]; __ [russian],THOU,English,,,
Swadesh-1964-100-185,tongue [english]; ____ [russian],TONGUE,English,,,
Swadesh-1964-100-186,tooth [english]; ___ [russian],TOOTH,English,,,
Swadesh-1964-100-187,tree [english]; ______ [russian],TREE,English,,,
Swadesh-1964-100-190,two [english]; ___ [russian],TWO,English,,,
Swadesh-1964-100-192,walk [english]; ____ [russian],WALK,English,,,
Swadesh-1964-100-193,warm [english]; ______ [russian],WARM,English,,,
Swadesh-1964-100-195,water [english]; ____ [russian],WATER,English,,,
Swadesh-1964-100-196,we [english]; __ [russian],WE,English,,,
Swadesh-1964-100-198,what [english]; ___ [russian],WHAT,English,,,
Swadesh-1964-100-201,white [english]; _____ [russian],WHITE,English,,,
Swadesh-1964-100-202,who [english]; ___ [russian],WHO,English,,,
Swadesh-1964-100-209,woman [english]; _______ [russian],WOMAN,English,,,
Swadesh-1964-100-215,yellow [english]; ______ [russian],YELLOW,English,,,
Swadesh-1964-100-216,*say [english]; _______ [russian],SAY,English,,,
Swadesh-1964-100-217,*moon [english]; ____ [russian],MOON,English,,,
Swadesh-1964-100-218,*round [english]; _______ [russian],ROUND,English,,,
Swadesh-1964-100-219,*full [english]; ______ [russian],FULL,English,,,
Swadesh-1964-100-220,*knee [english]; ______ [russian],KNEE,English,,,
Swadesh-1964-100-221,*claw [english]; ______ [russian],CLAW,English,,,
Swadesh-1964-100-222,*horn [english]; ___ [russian],HORN (ANATOMY),English,,,
Swadesh-1964-100-223,*breast [english]; _____ [russian],BREAST,English,,,