"","unique_topology","count","percentage"
"1",1,5227,29.0372757069052
"6",6,2166,12.0326648519527
"4",4,2014,11.1882673184823
"2",2,1090,6.05521915449142
"7",7,1003,5.57191267151825
"11",11,976,5.42192100438865
"3",3,604,3.35536914615855
"5",5,508,2.82206544080884
"10",10,445,2.4720848841731
"19",19,402,2.23320926615188
"8",8,375,2.08321759902228
"32",32,340,1.88878395644686
"29",29,232,1.28881728792845
"36",36,201,1.11660463307594
"13",13,180,0.999944447530693
"26",26,135,0.74995833564802
"28",28,111,0.616632409310594
"31",31,102,0.566635186934059
"38",38,102,0.566635186934059
"27",27,93,0.516637964557525
"35",35,93,0.516637964557525
"15",15,81,0.449975001388812
"9",9,63,0.349980556635742
"47",47,58,0.322204321982112
"37",37,53,0.294428087328482
"24",24,51,0.28331759346703
"25",25,48,0.266651852674851
"43",43,48,0.266651852674851
"44",44,38,0.211099383367591
"54",54,37,0.205544136436865
"58",58,37,0.205544136436865
"64",64,33,0.18332314871396
"52",52,30,0.166657407921782
"65",65,30,0.166657407921782
"95",95,29,0.161102160991056
"12",12,28,0.15554691406033
"86",86,28,0.15554691406033
"49",49,27,0.149991667129604
"73",73,27,0.149991667129604
"20",20,25,0.138881173268152
"76",76,25,0.138881173268152
"22",22,24,0.133325926337426
"14",14,21,0.116660185545247
"62",62,20,0.111104938614521
"30",30,19,0.105549691683795
"53",53,18,0.0999944447530693
"107",107,17,0.0944391978223432
"56",56,16,0.0888839508916171
"60",60,14,0.077773457030165
"102",102,14,0.077773457030165
"46",46,13,0.0722182100994389
"57",57,13,0.0722182100994389
"66",66,13,0.0722182100994389
"77",77,13,0.0722182100994389
"114",114,13,0.0722182100994389
"139",139,13,0.0722182100994389
"17",17,12,0.0666629631687128
"50",50,12,0.0666629631687128
"78",78,12,0.0666629631687128
"79",79,12,0.0666629631687128
"83",83,12,0.0666629631687128
"94",94,12,0.0666629631687128
"146",146,12,0.0666629631687128
"23",23,11,0.0611077162379868
"34",34,11,0.0611077162379868
"48",48,11,0.0611077162379868
"68",68,11,0.0611077162379868
"70",70,11,0.0611077162379868
"72",72,11,0.0611077162379868
"41",41,10,0.0555524693072607
"120",120,10,0.0555524693072607
"81",81,9,0.0499972223765346
"87",87,9,0.0499972223765346
"51",51,8,0.0444419754458086
"67",67,8,0.0444419754458086
"89",89,8,0.0444419754458086
"110",110,8,0.0444419754458086
"112",112,8,0.0444419754458086
"124",124,8,0.0444419754458086
"33",33,7,0.0388867285150825
"99",99,7,0.0388867285150825
"116",116,7,0.0388867285150825
"157",157,7,0.0388867285150825
"16",16,6,0.0333314815843564
"39",39,6,0.0333314815843564
"45",45,6,0.0333314815843564
"59",59,6,0.0333314815843564
"80",80,6,0.0333314815843564
"88",88,6,0.0333314815843564
"98",98,6,0.0333314815843564
"100",100,6,0.0333314815843564
"127",127,6,0.0333314815843564
"150",150,6,0.0333314815843564
"42",42,5,0.0277762346536304
"117",117,5,0.0277762346536304
"123",123,5,0.0277762346536304
"128",128,5,0.0277762346536304
"18",18,4,0.0222209877229043
"74",74,4,0.0222209877229043
"75",75,4,0.0222209877229043
"84",84,4,0.0222209877229043
"122",122,4,0.0222209877229043
"134",134,4,0.0222209877229043
"135",135,4,0.0222209877229043
"138",138,4,0.0222209877229043
"156",156,4,0.0222209877229043
"174",174,4,0.0222209877229043
"21",21,3,0.0166657407921782
"55",55,3,0.0166657407921782
"82",82,3,0.0166657407921782
"90",90,3,0.0166657407921782
"92",92,3,0.0166657407921782
"93",93,3,0.0166657407921782
"97",97,3,0.0166657407921782
"105",105,3,0.0166657407921782
"106",106,3,0.0166657407921782
"131",131,3,0.0166657407921782
"133",133,3,0.0166657407921782
"140",140,3,0.0166657407921782
"142",142,3,0.0166657407921782
"145",145,3,0.0166657407921782
"147",147,3,0.0166657407921782
"159",159,3,0.0166657407921782
"162",162,3,0.0166657407921782
"166",166,3,0.0166657407921782
"167",167,3,0.0166657407921782
"182",182,3,0.0166657407921782
"184",184,3,0.0166657407921782
"204",204,3,0.0166657407921782
"63",63,2,0.0111104938614521
"71",71,2,0.0111104938614521
"91",91,2,0.0111104938614521
"104",104,2,0.0111104938614521
"111",111,2,0.0111104938614521
"113",113,2,0.0111104938614521
"119",119,2,0.0111104938614521
"121",121,2,0.0111104938614521
"125",125,2,0.0111104938614521
"126",126,2,0.0111104938614521
"149",149,2,0.0111104938614521
"152",152,2,0.0111104938614521
"153",153,2,0.0111104938614521
"155",155,2,0.0111104938614521
"169",169,2,0.0111104938614521
"173",173,2,0.0111104938614521
"175",175,2,0.0111104938614521
"185",185,2,0.0111104938614521
"186",186,2,0.0111104938614521
"187",187,2,0.0111104938614521
"190",190,2,0.0111104938614521
"196",196,2,0.0111104938614521
"199",199,2,0.0111104938614521
"202",202,2,0.0111104938614521
"40",40,1,0.00555524693072607
"61",61,1,0.00555524693072607
"69",69,1,0.00555524693072607
"85",85,1,0.00555524693072607
"96",96,1,0.00555524693072607
"101",101,1,0.00555524693072607
"103",103,1,0.00555524693072607
"108",108,1,0.00555524693072607
"109",109,1,0.00555524693072607
"115",115,1,0.00555524693072607
"118",118,1,0.00555524693072607
"129",129,1,0.00555524693072607
"130",130,1,0.00555524693072607
"132",132,1,0.00555524693072607
"136",136,1,0.00555524693072607
"137",137,1,0.00555524693072607
"141",141,1,0.00555524693072607
"143",143,1,0.00555524693072607
"144",144,1,0.00555524693072607
"148",148,1,0.00555524693072607
"151",151,1,0.00555524693072607
"154",154,1,0.00555524693072607
"158",158,1,0.00555524693072607
"160",160,1,0.00555524693072607
"161",161,1,0.00555524693072607
"163",163,1,0.00555524693072607
"164",164,1,0.00555524693072607
"165",165,1,0.00555524693072607
"168",168,1,0.00555524693072607
"170",170,1,0.00555524693072607
"171",171,1,0.00555524693072607
"172",172,1,0.00555524693072607
"176",176,1,0.00555524693072607
"177",177,1,0.00555524693072607
"178",178,1,0.00555524693072607
"179",179,1,0.00555524693072607
"180",180,1,0.00555524693072607
"181",181,1,0.00555524693072607
"183",183,1,0.00555524693072607
"188",188,1,0.00555524693072607
"189",189,1,0.00555524693072607
"191",191,1,0.00555524693072607
"192",192,1,0.00555524693072607
"193",193,1,0.00555524693072607
"194",194,1,0.00555524693072607
"195",195,1,0.00555524693072607
"197",197,1,0.00555524693072607
"198",198,1,0.00555524693072607
"200",200,1,0.00555524693072607
"201",201,1,0.00555524693072607
"203",203,1,0.00555524693072607
"205",205,1,0.00555524693072607
"206",206,1,0.00555524693072607
"207",207,1,0.00555524693072607
"208",208,1,0.00555524693072607
"209",209,1,0.00555524693072607
"210",210,1,0.00555524693072607
"211",211,1,0.00555524693072607
"212",212,1,0.00555524693072607
"213",213,1,0.00555524693072607
"214",214,1,0.00555524693072607
"215",215,1,0.00555524693072607
"216",216,1,0.00555524693072607
"217",217,1,0.00555524693072607
"218",218,1,0.00555524693072607
"219",219,1,0.00555524693072607
"220",220,1,0.00555524693072607
